participant_id,trial_index,answer_A,answer_B,answer_C,answer_D,selected_label,is_correct,rel_range,preference_strength,dominant_metric_area,dominant_metric_label,is_uniform,pref_group,mismatch_flag,uniform_rel_range,preference_metric
l10_338,3,1631.0,1620.0,1698.0,1604.0,B,0,0.05737830001526019,0.040897298947047155,answer_C,C,True,uniform,False,0.2,IA_MAX_FIX_PUPIL_SIZE
l10_338,4,1647.0,1619.0,1522.0,,D,0,0.07832080200501253,0.017543859649122806,answer_A,A,True,uniform,False,0.2,IA_MAX_FIX_PUPIL_SIZE
l10_338,6,1542.0,1654.0,1488.0,,B,0,0.10631938514090522,0.071733561058924,answer_B,B,True,uniform,False,0.2,IA_MAX_FIX_PUPIL_SIZE
l10_338,7,,,1506.0,,A,1,0.0,0.0,answer_C,C,True,uniform,False,0.2,IA_MAX_FIX_PUPIL_SIZE
l10_338,8,,,1407.0,1452.0,C,0,0.03147953830010493,0.03147953830010493,answer_D,D,True,uniform,False,0.2,IA_MAX_FIX_PUPIL_SIZE
l10_338,10,1483.0,1424.0,1406.0,1675.0,A,1,0.1796927187708751,0.1282565130260521,answer_D,D,True,uniform,False,0.2,IA_MAX_FIX_PUPIL_SIZE
l10_338,11,1682.0,,1534.0,,A,1,0.09203980099502487,0.09203980099502487,answer_A,A,True,uniform,False,0.2,IA_MAX_FIX_PUPIL_SIZE
l10_338,12,1478.0,,,1338.0,A,1,0.09943181818181818,0.09943181818181818,answer_A,A,True,uniform,False,0.2,IA_MAX_FIX_PUPIL_SIZE
l10_338,13,1613.0,1390.0,,1284.0,A,1,0.23023093072078377,0.15605318404478657,answer_A,A,False,matching,False,0.2,IA_MAX_FIX_PUPIL_SIZE
l10_338,14,1526.0,,1549.0,,A,1,0.014959349593495935,0.014959349593495935,answer_C,C,True,uniform,False,0.2,IA_MAX_FIX_PUPIL_SIZE
l10_338,15,1623.0,,1356.0,1294.0,A,1,0.23098525626023872,0.18745611982213903,answer_A,A,False,matching,False,0.2,IA_MAX_FIX_PUPIL_SIZE
l10_338,17,,,1511.0,1386.0,C,0,0.08629616845012081,0.08629616845012081,answer_C,C,True,uniform,False,0.2,IA_MAX_FIX_PUPIL_SIZE
l10_338,18,1388.0,1451.0,1324.0,1349.0,A,1,0.09216255442670537,0.045718432510885344,answer_B,B,True,uniform,False,0.2,IA_MAX_FIX_PUPIL_SIZE
l10_338,19,1477.0,,,,A,1,0.0,0.0,answer_A,A,True,uniform,False,0.2,IA_MAX_FIX_PUPIL_SIZE
l10_338,20,1327.0,1326.0,,,A,1,0.0007538635506973238,0.0007538635506973238,answer_A,A,True,uniform,False,0.2,IA_MAX_FIX_PUPIL_SIZE
l10_338,21,1465.0,,1382.0,1424.0,A,1,0.058300163896043075,0.02879887614141887,answer_A,A,True,uniform,False,0.2,IA_MAX_FIX_PUPIL_SIZE
l10_338,22,,1410.0,,1360.0,A,1,0.036101083032490974,0.036101083032490974,answer_B,B,True,uniform,False,0.2,IA_MAX_FIX_PUPIL_SIZE
l10_338,23,1339.0,,,,A,1,0.0,0.0,answer_A,A,True,uniform,False,0.2,IA_MAX_FIX_PUPIL_SIZE
l10_338,24,,,,1255.0,B,0,0.0,0.0,answer_D,D,True,uniform,False,0.2,IA_MAX_FIX_PUPIL_SIZE
l10_338,26,,1397.0,1333.0,1387.0,B,0,0.04663589992713141,0.0072868593636142825,answer_B,B,True,uniform,False,0.2,IA_MAX_FIX_PUPIL_SIZE
l10_338,27,,1391.0,,,A,1,0.0,0.0,answer_B,B,True,uniform,False,0.2,IA_MAX_FIX_PUPIL_SIZE
l10_338,28,,1373.0,,,A,1,0.0,0.0,answer_B,B,True,uniform,False,0.2,IA_MAX_FIX_PUPIL_SIZE
l10_338,29,1513.0,,,,A,1,0.0,0.0,answer_A,A,True,uniform,False,0.2,IA_MAX_FIX_PUPIL_SIZE
