text_id_with_q,question
1_10_Adv_3_1,What is the upcoming “bigger crisis”?
1_10_Ele_3_1,What is the upcoming “bigger crisis”?
2_1_Adv_4_1,What does Laura say is “satisfying”?
2_1_Ele_4_1,What does Laura say is “satisfying”?
3_3_Adv_3_0,"According to Duncan Wise, what do people normally consider as “landscape”?"
3_3_Ele_3_0,"According to Duncan Wise, what do people normally consider as “landscape”?"
3_6_Adv_7_2,"According to Pizzi, what is one benefit of the “cargo bike”?"
3_6_Ele_7_2,"According to Pizzi, what is one benefit of the “cargo bike”?"
3_7_Adv_5_0,What is true of the English word “cool”?
3_7_Ele_5_0,What is true of the English word “cool”?
3_9_Adv_1_2,Which children are referred to as “lucky”?
3_9_Ele_1_2,Which children are referred to as “lucky”?
