IA_ID,word,assigned,true,misassigned
1,What,question,question,False
2,is,question,question,False
3,true,question,question,False
4,of,question,question,False
5,the,question,question,False
6,English,question,question,False
7,word,question,question,False
8,"""cool""?",question,question,False
9,It,question,answer_0(top),True
10,comes,answer_0(top),answer_0(top),False
11,from,answer_0(top),answer_0(top),False
12,the,answer_0(top),answer_0(top),False
13,French,answer_0(top),answer_0(top),False
14,word,answer_0(top),answer_0(top),False
15,"""chouette""",answer_0(top),answer_0(top),False
16,French,answer_0(top),answer_1(left),True
17,television,answer_1(left),answer_1(left),False
18,ads,answer_1(left),answer_1(left),False
19,for,answer_1(left),answer_1(left),False
20,refrigerators,answer_1(left),answer_1(left),False
21,often,answer_1(left),answer_1(left),False
22,use,answer_1(left),answer_1(left),False
23,it,answer_1(left),answer_1(left),False
24,It,answer_1(left),answer_2(right),True
25,started,answer_2(right),answer_2(right),False
26,being,answer_2(right),answer_2(right),False
27,used,answer_2(right),answer_2(right),False
28,in,answer_2(right),answer_2(right),False
29,France,answer_2(right),answer_2(right),False
30,in,answer_2(right),answer_2(right),False
31,the,answer_2(right),answer_2(right),False
32,20th,answer_2(right),answer_2(right),False
33,century,answer_2(right),answer_2(right),False
34,Carle,answer_2(right),answer_3(bottom),True
35,used,answer_3(bottom),answer_3(bottom),False
36,to,answer_3(bottom),answer_3(bottom),False
37,use,answer_3(bottom),answer_3(bottom),False
38,it,answer_3(bottom),answer_3(bottom),False
