participant_id,trial_index,answer_A,answer_B,answer_C,answer_D,selected_label,is_correct,rel_range,preference_strength,dominant_metric_area,dominant_metric_label,is_uniform,pref_group,mismatch_flag,uniform_rel_range,preference_metric
L41_408,3,781.0,844.0,,,A,1,0.07753846153846154,0.07753846153846154,answer_B,B,True,uniform,False,0.15,IA_MAX_FIX_PUPIL_SIZE
L41_408,4,783.0,812.0,,,B,0,0.03636363636363636,0.03636363636363636,answer_B,B,True,uniform,False,0.15,IA_MAX_FIX_PUPIL_SIZE
L41_408,5,767.0,779.0,,,A,1,0.015523932729624839,0.015523932729624839,answer_B,B,True,uniform,False,0.15,IA_MAX_FIX_PUPIL_SIZE
L41_408,6,727.0,,776.0,,A,1,0.06520292747837658,0.06520292747837658,answer_C,C,True,uniform,False,0.15,IA_MAX_FIX_PUPIL_SIZE
L41_408,7,769.0,735.0,,749.0,A,1,0.045272969374167776,0.02663115845539281,answer_A,A,True,uniform,False,0.15,IA_MAX_FIX_PUPIL_SIZE
L41_408,9,745.0,,,,A,1,0.0,0.0,answer_A,A,True,uniform,False,0.15,IA_MAX_FIX_PUPIL_SIZE
L41_408,10,,691.0,,,A,1,0.0,0.0,answer_B,B,True,uniform,False,0.15,IA_MAX_FIX_PUPIL_SIZE
L41_408,11,705.0,,671.0,,A,1,0.04941860465116279,0.04941860465116279,answer_A,A,True,uniform,False,0.15,IA_MAX_FIX_PUPIL_SIZE
L41_408,12,706.0,,,,A,1,0.0,0.0,answer_A,A,True,uniform,False,0.15,IA_MAX_FIX_PUPIL_SIZE
L41_408,13,,,730.0,702.0,C,0,0.03910614525139665,0.03910614525139665,answer_C,C,True,uniform,False,0.15,IA_MAX_FIX_PUPIL_SIZE
L41_408,14,,640.0,610.0,672.0,A,1,0.09677419354838711,0.04994797086368367,answer_D,D,True,uniform,False,0.15,IA_MAX_FIX_PUPIL_SIZE
L41_408,15,,,,729.0,D,0,0.0,0.0,answer_D,D,True,uniform,False,0.15,IA_MAX_FIX_PUPIL_SIZE
L41_408,16,729.0,,,,A,1,0.0,0.0,answer_A,A,True,uniform,False,0.15,IA_MAX_FIX_PUPIL_SIZE
L41_408,17,712.0,709.0,,,A,1,0.00422237860661506,0.00422237860661506,answer_A,A,True,uniform,False,0.15,IA_MAX_FIX_PUPIL_SIZE
L41_408,19,778.0,678.0,,,A,1,0.13736263736263737,0.13736263736263737,answer_A,A,True,uniform,False,0.15,IA_MAX_FIX_PUPIL_SIZE
L41_408,20,701.0,710.0,,770.0,A,1,0.09491059147180192,0.08253094910591471,answer_D,D,True,uniform,False,0.15,IA_MAX_FIX_PUPIL_SIZE
L41_408,21,843.0,,,776.0,B,0,0.08276714021000618,0.08276714021000618,answer_A,A,True,uniform,False,0.15,IA_MAX_FIX_PUPIL_SIZE
L41_408,22,814.0,,,,A,1,0.0,0.0,answer_A,A,True,uniform,False,0.15,IA_MAX_FIX_PUPIL_SIZE
L41_408,23,774.0,,,792.0,A,1,0.022988505747126436,0.022988505747126436,answer_D,D,True,uniform,False,0.15,IA_MAX_FIX_PUPIL_SIZE
L41_408,24,831.0,,,,A,1,0.0,0.0,answer_A,A,True,uniform,False,0.15,IA_MAX_FIX_PUPIL_SIZE
L41_408,25,694.0,,,,A,1,0.0,0.0,answer_A,A,True,uniform,False,0.15,IA_MAX_FIX_PUPIL_SIZE
L41_408,26,677.0,,,765.0,A,1,0.12205270457697642,0.12205270457697642,answer_D,D,True,uniform,False,0.15,IA_MAX_FIX_PUPIL_SIZE
L41_408,27,,,618.0,,C,0,0.0,0.0,answer_C,C,True,uniform,False,0.15,IA_MAX_FIX_PUPIL_SIZE
L41_408,28,582.0,,,,C,0,0.0,0.0,answer_A,A,True,uniform,False,0.15,IA_MAX_FIX_PUPIL_SIZE
L41_408,29,,,683.0,,A,1,0.0,0.0,answer_C,C,True,uniform,False,0.15,IA_MAX_FIX_PUPIL_SIZE
L41_408,30,774.0,590.0,,679.0,A,1,0.2701908957415565,0.1395007342143906,answer_A,A,False,matching,False,0.15,IA_MAX_FIX_PUPIL_SIZE
L41_408,31,703.0,613.0,,,A,1,0.13677811550151975,0.13677811550151975,answer_A,A,True,uniform,False,0.15,IA_MAX_FIX_PUPIL_SIZE
L41_408,32,634.0,654.0,679.0,614.0,B,0,0.10073614877954282,0.03874467260751647,answer_C,C,True,uniform,False,0.15,IA_MAX_FIX_PUPIL_SIZE
L41_408,33,727.0,,705.0,669.0,A,1,0.08281770585435506,0.031413612565445025,answer_A,A,True,uniform,False,0.15,IA_MAX_FIX_PUPIL_SIZE
L41_408,34,652.0,,,,A,1,0.0,0.0,answer_A,A,True,uniform,False,0.15,IA_MAX_FIX_PUPIL_SIZE
L41_408,35,694.0,,,,B,0,0.0,0.0,answer_A,A,True,uniform,False,0.15,IA_MAX_FIX_PUPIL_SIZE
L41_408,36,636.0,652.0,608.0,652.0,A,1,0.06907378335949764,0.0,answer_B,B,True,uniform,False,0.15,IA_MAX_FIX_PUPIL_SIZE
L41_408,37,639.0,,,694.0,A,1,0.08252063015753938,0.08252063015753938,answer_D,D,True,uniform,False,0.15,IA_MAX_FIX_PUPIL_SIZE
L41_408,38,769.0,,744.0,,A,1,0.03304692663582287,0.03304692663582287,answer_A,A,True,uniform,False,0.15,IA_MAX_FIX_PUPIL_SIZE
L41_408,39,581.0,,633.0,,A,1,0.085667215815486,0.085667215815486,answer_C,C,True,uniform,False,0.15,IA_MAX_FIX_PUPIL_SIZE
L41_408,41,582.0,,,,A,1,0.0,0.0,answer_A,A,True,uniform,False,0.15,IA_MAX_FIX_PUPIL_SIZE
L41_408,42,,,616.0,,A,1,0.0,0.0,answer_C,C,True,uniform,False,0.15,IA_MAX_FIX_PUPIL_SIZE
L41_408,45,667.0,,,,A,1,0.0,0.0,answer_A,A,True,uniform,False,0.15,IA_MAX_FIX_PUPIL_SIZE
L41_408,47,605.0,568.0,,,A,1,0.06308610400682012,0.06308610400682012,answer_A,A,True,uniform,False,0.15,IA_MAX_FIX_PUPIL_SIZE
L41_408,48,628.0,614.0,637.0,646.0,D,0,0.050693069306930696,0.014257425742574258,answer_D,D,True,uniform,False,0.15,IA_MAX_FIX_PUPIL_SIZE
L41_408,49,653.0,,,653.0,A,1,0.0,0.0,answer_A,A,True,uniform,False,0.15,IA_MAX_FIX_PUPIL_SIZE
L41_408,52,661.0,671.0,,,A,1,0.015015015015015015,0.015015015015015015,answer_B,B,True,uniform,False,0.15,IA_MAX_FIX_PUPIL_SIZE
L41_408,53,,,630.0,,A,1,0.0,0.0,answer_C,C,True,uniform,False,0.15,IA_MAX_FIX_PUPIL_SIZE
L41_408,54,624.0,665.0,584.0,632.0,A,1,0.12934131736526946,0.05269461077844311,answer_B,B,True,uniform,False,0.15,IA_MAX_FIX_PUPIL_SIZE
L41_408,55,722.0,674.0,689.0,622.0,A,1,0.1477650535648319,0.048762467676394534,answer_A,A,True,uniform,False,0.15,IA_MAX_FIX_PUPIL_SIZE
L41_408,56,,,,639.0,A,1,0.0,0.0,answer_D,D,True,uniform,False,0.15,IA_MAX_FIX_PUPIL_SIZE
L41_408,57,589.0,634.0,630.0,639.0,A,1,0.08025682182985554,0.008025682182985553,answer_D,D,True,uniform,False,0.15,IA_MAX_FIX_PUPIL_SIZE
L56_481,3,525.0,523.0,477.0,,A,1,0.09442622950819672,0.003934426229508197,answer_A,A,True,uniform,False,0.15,IA_MAX_FIX_PUPIL_SIZE
